time,Name,Close,Diff
2022-01-12,CTSI-BTC,1.57e-05,1.9999999999999995e-06
2022-01-13,CTSI-BTC,1.65e-05,9.000000000000015e-07
2022-01-14,CTSI-BTC,1.66e-05,2.0000000000000147e-07
2022-01-15,CTSI-BTC,1.57e-05,-9.000000000000015e-07
2022-01-16,CTSI-BTC,1.54e-05,-1.9999999999999809e-07
2022-01-17,CTSI-BTC,1.46e-05,-8.000000000000008e-07
2022-01-18,CTSI-BTC,1.44e-05,-3.000000000000005e-07
2022-01-19,CTSI-BTC,1.39e-05,-4.999999999999986e-07
2022-01-20,CTSI-BTC,1.38e-05,-1.0000000000000074e-07
2022-01-21,CTSI-BTC,1.32e-05,-4.999999999999986e-07
2022-01-22,CTSI-BTC,1.24e-05,-8.000000000000008e-07
2022-01-23,CTSI-BTC,1.26e-05,9.999999999999904e-08
2022-01-24,CTSI-BTC,1.15e-05,-1.0999999999999996e-06
2022-01-25,CTSI-BTC,1.19e-05,2.999999999999988e-07
2022-01-26,CTSI-BTC,1.22e-05,3.000000000000005e-07
2022-01-27,CTSI-BTC,1.2e-05,-1.9999999999999978e-07
2022-01-28,CTSI-BTC,1.21e-05,9.999999999999904e-08
2022-01-29,CTSI-BTC,1.22e-05,1.0000000000000074e-07
2022-01-30,CTSI-BTC,1.2e-05,-9.999999999999904e-08
2022-01-31,CTSI-BTC,1.21e-05,1.9999999999999978e-07
2022-02-01,CTSI-BTC,1.23e-05,2.0000000000000147e-07
2022-02-02,CTSI-BTC,1.16e-05,-5.999999999999993e-07
2022-02-03,CTSI-BTC,1.19e-05,2.999999999999988e-07
2022-02-04,CTSI-BTC,1.17e-05,-1.0000000000000074e-07
2022-02-05,CTSI-BTC,1.19e-05,1.9999999999999978e-07
2022-02-06,CTSI-BTC,1.19e-05,9.999999999999904e-08
2022-02-07,CTSI-BTC,1.23e-05,3.000000000000005e-07
2022-02-08,CTSI-BTC,1.2e-05,-1.9999999999999978e-07
2022-02-09,CTSI-BTC,1.21e-05,1.9999999999999978e-07
2022-02-10,CTSI-BTC,1.17e-05,-3.9999999999999956e-07
2022-02-11,CTSI-BTC,1.07e-05,-1.0000000000000006e-06
2022-02-12,CTSI-BTC,1.1e-05,3.000000000000005e-07
2022-02-13,CTSI-BTC,1.05e-05,-4.0000000000000125e-07
2022-02-14,CTSI-BTC,1.06e-05,1.0000000000000074e-07
2022-02-15,CTSI-BTC,1.1e-05,5.000000000000003e-07
2022-02-16,CTSI-BTC,1.08e-05,-1.9999999999999978e-07
2022-02-17,CTSI-BTC,1.08e-05,0.0
2022-02-18,CTSI-BTC,1.05e-05,-1.9999999999999978e-07
2022-02-19,CTSI-BTC,1.04e-05,-1.9999999999999978e-07
2022-02-20,CTSI-BTC,1.03e-05,-1.0000000000000074e-07
2022-02-21,CTSI-BTC,1e-05,-3.9999999999999956e-07
2022-02-22,CTSI-BTC,1.01e-05,9.999999999999904e-08
2022-02-23,CTSI-BTC,9.8e-06,-3.000000000000005e-07
2022-02-24,CTSI-BTC,9e-06,-7.999999999999991e-07
2022-02-25,CTSI-BTC,9.5e-06,5.000000000000003e-07
2022-02-26,CTSI-BTC,9.3e-06,-2.999999999999988e-07
2022-02-27,CTSI-BTC,9e-06,-3.000000000000005e-07
2022-02-28,CTSI-BTC,9.2e-06,1.0000000000000074e-07
2022-03-01,CTSI-BTC,8.9e-06,-3.000000000000005e-07
2022-03-02,CTSI-BTC,9.1e-06,1.9999999999999978e-07
2022-03-03,CTSI-BTC,9e-06,-9.999999999999904e-08
2022-03-04,CTSI-BTC,9e-06,0.0
2022-03-05,CTSI-BTC,9.2e-06,3.000000000000005e-07
2022-03-06,CTSI-BTC,8.4e-06,-8.000000000000008e-07
2022-03-07,CTSI-BTC,8.4e-06,0.0
2022-03-08,CTSI-BTC,7.9e-06,-4.999999999999986e-07
2022-03-09,CTSI-BTC,7.7e-06,-2.999999999999988e-07
2022-03-10,CTSI-BTC,7.5e-06,-2.0000000000000063e-07
2022-03-11,CTSI-BTC,7.6e-06,9.999999999999989e-08
