time,Name,Close,Diff
2022-01-25,DIA-USD,1.04,-0.15999999999999992
2022-01-26,DIA-USD,0.99,-0.050000000000000044
2022-01-27,DIA-USD,0.93,-0.05999999999999994
2022-01-28,DIA-USD,0.99,0.050000000000000044
2022-01-29,DIA-USD,1.0,0.010000000000000009
2022-01-30,DIA-USD,0.93,-0.05999999999999994
2022-01-31,DIA-USD,0.95,0.0
2022-02-01,DIA-USD,0.98,0.030000000000000027
2022-02-02,DIA-USD,0.9,-0.06999999999999995
2022-02-03,DIA-USD,0.95,0.04999999999999993
2022-02-04,DIA-USD,1.01,0.06000000000000005
2022-02-05,DIA-USD,1.01,0.010000000000000009
2022-02-06,DIA-USD,1.02,0.010000000000000009
2022-02-07,DIA-USD,1.07,0.050000000000000044
2022-02-08,DIA-USD,1.07,0.0
2022-02-09,DIA-USD,1.07,0.0
2022-02-10,DIA-USD,1.01,-0.06000000000000005
2022-02-11,DIA-USD,0.96,-0.040000000000000036
2022-02-12,DIA-USD,0.96,0.0
2022-02-13,DIA-USD,0.96,0.0
2022-02-14,DIA-USD,0.95,0.0
2022-02-15,DIA-USD,0.99,0.050000000000000044
2022-02-16,DIA-USD,0.97,-0.010000000000000009
2022-02-17,DIA-USD,1.2,0.22999999999999998
2022-02-18,DIA-USD,1.07,-0.1299999999999999
2022-02-19,DIA-USD,1.02,-0.050000000000000044
2022-02-20,DIA-USD,0.94,-0.07000000000000006
2022-02-21,DIA-USD,0.91,-0.029999999999999916
2022-02-22,DIA-USD,0.89,-0.020000000000000018
2022-02-23,DIA-USD,1.1,0.22000000000000008
2022-02-24,DIA-USD,1.02,-0.08000000000000007
2022-02-25,DIA-USD,1.02,0.0
2022-02-26,DIA-USD,1.07,0.050000000000000044
2022-02-27,DIA-USD,0.99,-0.09000000000000008
2022-02-28,DIA-USD,1.06,0.08000000000000007
2022-03-01,DIA-USD,1.05,-0.020000000000000018
2022-03-02,DIA-USD,1.02,-0.030000000000000027
2022-03-03,DIA-USD,1.05,0.030000000000000027
2022-03-04,DIA-USD,0.97,-0.09000000000000008
2022-03-05,DIA-USD,1.01,0.040000000000000036
2022-03-06,DIA-USD,0.95,-0.06000000000000005
2022-03-07,DIA-USD,0.92,-0.029999999999999916
2022-03-08,DIA-USD,0.93,0.010000000000000009
2022-03-09,DIA-USD,0.94,0.019999999999999907
2022-03-10,DIA-USD,0.9,-0.039999999999999925
2022-03-11,DIA-USD,0.93,0.030000000000000027
2022-03-12,DIA-USD,0.91,-0.020000000000000018
2022-03-13,DIA-USD,0.87,-0.030000000000000027
2022-03-14,DIA-USD,0.9,0.030000000000000027
2022-03-15,DIA-USD,0.89,0.0
2022-03-16,DIA-USD,0.92,0.030000000000000027
2022-03-17,DIA-USD,0.93,0.010000000000000009
2022-03-18,DIA-USD,0.94,0.0
2022-03-19,DIA-USD,0.94,0.0
2022-03-20,DIA-USD,0.94,0.0
2022-03-21,DIA-USD,0.95,0.010000000000000009
2022-03-22,DIA-USD,0.95,0.010000000000000009
2022-03-23,DIA-USD,0.97,0.020000000000000018
2022-03-24,DIA-USD,1.01,0.040000000000000036
2022-03-25,DIA-USD,0.99,-0.030000000000000027
2022-03-26,DIA-USD,1.0,0.010000000000000009
2022-03-27,DIA-USD,1.07,0.06000000000000005
2022-03-28,DIA-USD,1.05,-0.020000000000000018
2022-03-29,DIA-USD,1.04,-0.010000000000000009
2022-03-30,DIA-USD,1.08,0.030000000000000027
2022-03-31,DIA-USD,1.09,0.010000000000000009
2022-04-01,DIA-USD,1.1,0.010000000000000009
2022-04-02,DIA-USD,1.11,0.010000000000000009
2022-04-03,DIA-USD,1.15,0.039999999999999813
2022-04-04,DIA-USD,1.09,-0.05999999999999983
2022-04-05,DIA-USD,1.07,-0.040000000000000036
2022-04-06,DIA-USD,0.97,-0.10000000000000009
2022-04-07,DIA-USD,1.0,0.020000000000000018
2022-04-08,DIA-USD,0.93,-0.06999999999999995
2022-04-09,DIA-USD,0.92,-0.010000000000000009
2022-04-10,DIA-USD,0.93,0.0
2022-04-11,DIA-USD,0.88,-0.05999999999999994
2022-04-12,DIA-USD,0.88,0.0
2022-04-13,DIA-USD,0.91,0.030000000000000027
2022-04-14,DIA-USD,0.87,-0.030000000000000027
2022-04-15,DIA-USD,0.9,0.020000000000000018
2022-04-16,DIA-USD,0.89,-0.020000000000000018
2022-04-17,DIA-USD,0.87,-0.010000000000000009
2022-04-18,DIA-USD,0.87,-0.010000000000000009
2022-04-19,DIA-USD,0.92,0.040000000000000036
2022-04-20,DIA-USD,0.92,-0.010000000000000009
2022-04-21,DIA-USD,0.89,-0.020000000000000018
2022-04-22,DIA-USD,0.89,0.010000000000000009
2022-04-23,DIA-USD,0.87,-0.020000000000000018
2022-04-24,DIA-USD,0.88,0.010000000000000009
2022-04-25,DIA-USD,0.84,-0.040000000000000036
2022-04-26,DIA-USD,0.81,-0.029999999999999916
2022-04-27,DIA-USD,0.81,0.010000000000000009
2022-04-28,DIA-USD,0.83,0.019999999999999907
2022-04-29,DIA-USD,0.81,-0.009999999999999898
2022-04-30,DIA-USD,0.78,-0.020000000000000018
2022-05-01,DIA-USD,0.77,-0.020000000000000018
2022-05-02,DIA-USD,0.76,-0.010000000000000009
