time,Name,Close,Diff
2022-01-12,MANA-ETH,0.000916,1.100000000000005e-05
2022-01-13,MANA-ETH,0.000894,-1.9999999999999944e-05
2022-01-14,MANA-ETH,0.000894,1.0000000000000243e-06
2022-01-15,MANA-ETH,0.000895,1.99999999999994e-06
2022-01-16,MANA-ETH,0.00093,3.500000000000009e-05
2022-01-17,MANA-ETH,0.000905,-2.5000000000000066e-05
2022-01-18,MANA-ETH,0.000902,-1.99999999999994e-06
2022-01-19,MANA-ETH,0.000885,-1.4999999999999931e-05
2022-01-20,MANA-ETH,0.000876,-9.999999999999918e-06
2022-01-21,MANA-ETH,0.000864,-1.2000000000000075e-05
2022-01-22,MANA-ETH,0.000848,-1.4000000000000015e-05
2022-01-23,MANA-ETH,0.000833,-1.2000000000000075e-05
2022-01-24,MANA-ETH,0.000852,2.0000000000000052e-05
2022-01-25,MANA-ETH,0.000854,3.000000000000073e-06
2022-01-26,MANA-ETH,0.000878,2.3999999999999933e-05
2022-01-27,MANA-ETH,0.000929,5.299999999999999e-05
2022-01-28,MANA-ETH,0.000896,-3.300000000000004e-05
2022-01-29,MANA-ETH,0.000909,1.4000000000000015e-05
2022-01-30,MANA-ETH,0.000963,5.599999999999995e-05
2022-01-31,MANA-ETH,0.001052,8.9e-05
2022-02-01,MANA-ETH,0.000961,-9.099999999999994e-05
2022-02-02,MANA-ETH,0.000947,-1.4000000000000015e-05
2022-02-03,MANA-ETH,0.000994,4.800000000000008e-05
2022-02-04,MANA-ETH,0.000939,-5.600000000000006e-05
2022-02-05,MANA-ETH,0.001002,6.400000000000004e-05
2022-02-06,MANA-ETH,0.001079,7.700000000000003e-05
2022-02-07,MANA-ETH,0.001046,-3.399999999999996e-05
2022-02-08,MANA-ETH,0.001114,6.7e-05
2022-02-09,MANA-ETH,0.00103,-8.699999999999984e-05
2022-02-10,MANA-ETH,0.00102,-8.999999999999894e-06
2022-02-11,MANA-ETH,0.000997,-2.599999999999998e-05
2022-02-12,MANA-ETH,0.000995,-9.999999999999159e-07
2022-02-13,MANA-ETH,0.000983,-1.2000000000000075e-05
2022-02-14,MANA-ETH,0.00097,-1.100000000000005e-05
2022-02-15,MANA-ETH,0.001048,7.900000000000008e-05
2022-02-16,MANA-ETH,0.001043,-3.99999999999988e-06
2022-02-17,MANA-ETH,0.001061,1.7000000000000088e-05
2022-02-18,MANA-ETH,0.001066,5.000000000000013e-06
2022-02-19,MANA-ETH,0.001042,-2.599999999999998e-05
2022-02-20,MANA-ETH,0.001028,-1.299999999999999e-05
2022-02-21,MANA-ETH,0.000967,-5.800000000000011e-05
2022-02-22,MANA-ETH,0.0010035,3.950000000000004e-05
2022-02-23,MANA-ETH,0.0009898,-1.309999999999983e-05
