time,Name,Close,Diff
2022-01-12,NKN-BTC,7.1e-06,9.999999999999989e-08
2022-01-13,NKN-BTC,7e-06,-9.999999999999989e-08
2022-01-14,NKN-BTC,6.8e-06,-9.999999999999989e-08
2022-01-15,NKN-BTC,7e-06,1.9999999999999978e-07
2022-01-16,NKN-BTC,7e-06,0.0
2022-01-17,NKN-BTC,6.7e-06,-1.9999999999999978e-07
2022-01-18,NKN-BTC,6.7e-06,0.0
2022-01-19,NKN-BTC,6.6e-06,-9.999999999999989e-08
2022-01-20,NKN-BTC,6.2e-06,-4.000000000000004e-07
2022-01-21,NKN-BTC,6e-06,-1.9999999999999978e-07
2022-01-22,NKN-BTC,5.6e-06,-4.000000000000004e-07
2022-01-23,NKN-BTC,5.5e-06,-9.999999999999989e-08
2022-01-24,NKN-BTC,5.2e-06,-2.9999999999999967e-07
2022-01-25,NKN-BTC,5.3e-06,9.999999999999989e-08
2022-01-26,NKN-BTC,5.5e-06,2.9999999999999967e-07
2022-01-27,NKN-BTC,5.3e-06,-1.9999999999999978e-07
2022-01-28,NKN-BTC,5.4e-06,9.999999999999989e-08
2022-01-29,NKN-BTC,5.6e-06,1.9999999999999978e-07
2022-01-30,NKN-BTC,5.6e-06,9.999999999999989e-08
2022-01-31,NKN-BTC,5.8e-06,1.0000000000000074e-07
2022-02-01,NKN-BTC,5.8e-06,0.0
2022-02-02,NKN-BTC,5.5e-06,-3.000000000000005e-07
2022-02-03,NKN-BTC,5.5e-06,0.0
2022-02-04,NKN-BTC,5.5e-06,9.999999999999989e-08
2022-02-05,NKN-BTC,6.2e-06,7.000000000000001e-07
2022-02-06,NKN-BTC,6e-06,-2.9999999999999967e-07
2022-02-07,NKN-BTC,6e-06,0.0
2022-02-08,NKN-BTC,6.3e-06,2.9999999999999967e-07
2022-02-09,NKN-BTC,6.2e-06,-9.999999999999989e-08
2022-02-10,NKN-BTC,6e-06,-1.9999999999999978e-07
2022-02-11,NKN-BTC,5.6e-06,-4.000000000000004e-07
2022-02-12,NKN-BTC,5.5e-06,-9.999999999999989e-08
2022-02-13,NKN-BTC,5.5e-06,0.0
2022-02-14,NKN-BTC,5.4e-06,0.0
2022-02-15,NKN-BTC,5.8e-06,3.000000000000005e-07
2022-02-16,NKN-BTC,5.5e-06,-3.000000000000005e-07
2022-02-17,NKN-BTC,5.4e-06,-1.9999999999999978e-07
2022-02-18,NKN-BTC,5.4e-06,-9.999999999999989e-08
2022-02-19,NKN-BTC,5.5e-06,0.0
2022-02-20,NKN-BTC,5.3e-06,-9.999999999999989e-08
2022-02-21,NKN-BTC,5e-06,-2.9999999999999967e-07
2022-02-22,NKN-BTC,5.26e-06,1.5999999999999932e-07
2022-02-23,NKN-BTC,5.11e-06,-9.999999999999989e-08
2022-02-24,NKN-BTC,4.8e-06,-3.200000000000003e-07
2022-02-25,NKN-BTC,5.01e-06,2.2000000000000043e-07
2022-02-26,NKN-BTC,5e-06,0.0
2022-02-27,NKN-BTC,5.05e-06,3.999999999999962e-08
2022-02-28,NKN-BTC,4.93e-06,-1.199999999999997e-07
2022-03-01,NKN-BTC,4.84e-06,-9.999999999999989e-08
2022-03-02,NKN-BTC,4.84e-06,2.0000000000000656e-08
2022-03-03,NKN-BTC,4.78e-06,-6.000000000000027e-08
2022-03-04,NKN-BTC,4.75e-06,-2.999999999999971e-08
2022-03-05,NKN-BTC,4.9e-06,1.7000000000000007e-07
2022-03-06,NKN-BTC,4.67e-06,-2.199999999999996e-07
2022-03-07,NKN-BTC,4.68e-06,9.999999999999904e-09
2022-03-08,NKN-BTC,4.7e-06,3.999999999999962e-08
2022-03-09,NKN-BTC,4.64e-06,-6.000000000000027e-08
2022-03-10,NKN-BTC,4.62e-06,-5.000000000000037e-08
2022-03-11,NKN-BTC,4.65e-06,4.0000000000000464e-08
2022-03-12,NKN-BTC,4.64e-06,-1.0000000000000751e-08
2022-03-13,NKN-BTC,4.57e-06,-6.999999999999933e-08
2022-03-14,NKN-BTC,4.57e-06,0.0
2022-03-15,NKN-BTC,4.54e-06,-3.000000000000056e-08
2022-03-16,NKN-BTC,4.64e-06,1.099999999999998e-07
2022-03-17,NKN-BTC,4.65e-06,0.0
2022-03-18,NKN-BTC,4.62e-06,-1.999999999999981e-08
2022-03-19,NKN-BTC,4.94e-06,3.000000000000005e-07
2022-03-20,NKN-BTC,4.76e-06,-1.8999999999999987e-07
2022-03-21,NKN-BTC,4.99e-06,2.399999999999994e-07
2022-03-22,NKN-BTC,5.06e-06,7.000000000000018e-08
2022-03-23,NKN-BTC,5.18e-06,1.2000000000000055e-07
2022-03-24,NKN-BTC,5.28e-06,9.999999999999989e-08
2022-03-25,NKN-BTC,5.13e-06,-1.5000000000000026e-07
2022-03-26,NKN-BTC,5.21e-06,8.999999999999999e-08
2022-03-27,NKN-BTC,5.31e-06,7.000000000000018e-08
2022-03-28,NKN-BTC,5.34e-06,2.999999999999971e-08
2022-03-29,NKN-BTC,5.7e-06,3.7999999999999975e-07
2022-03-30,NKN-BTC,5.77e-06,7.000000000000018e-08
2022-03-31,NKN-BTC,5.89e-06,8.999999999999999e-08
2022-04-01,NKN-BTC,5.89e-06,-9.999999999999904e-09
2022-04-02,NKN-BTC,6.31e-06,4.300000000000001e-07
2022-04-03,NKN-BTC,6.66e-06,3.8999999999999965e-07
2022-04-04,NKN-BTC,6.29e-06,-3.5999999999999994e-07
2022-04-05,NKN-BTC,6.17e-06,-1.499999999999994e-07
2022-04-06,NKN-BTC,5.42e-06,-7.400000000000005e-07
2022-04-07,NKN-BTC,5.72e-06,2.800000000000007e-07
2022-04-08,NKN-BTC,5.58e-06,-1.4000000000000035e-07
2022-04-09,NKN-BTC,5.61e-06,3.999999999999962e-08
2022-04-10,NKN-BTC,5.45e-06,-1.499999999999994e-07
2022-04-11,NKN-BTC,4.99e-06,-4.600000000000007e-07
2022-04-12,NKN-BTC,5.23e-06,2.4000000000000024e-07
2022-04-13,NKN-BTC,5.25e-06,2.999999999999971e-08
2022-04-14,NKN-BTC,5.21e-06,-3.999999999999962e-08
2022-04-15,NKN-BTC,5.26e-06,5.999999999999943e-08
2022-04-16,NKN-BTC,5.22e-06,-2.999999999999971e-08
2022-04-17,NKN-BTC,5.07e-06,-1.6000000000000016e-07
2022-04-18,NKN-BTC,5.21e-06,1.3000000000000045e-07
2022-04-19,NKN-BTC,5.27e-06,8.000000000000008e-08
2022-04-20,NKN-BTC,5.18e-06,-9.999999999999989e-08
2022-04-21,NKN-BTC,5.07e-06,-1.1000000000000064e-07
2022-04-22,NKN-BTC,5.21e-06,1.3000000000000045e-07
2022-04-23,NKN-BTC,5.16e-06,-8.999999999999999e-08
2022-04-24,NKN-BTC,5.01e-06,-1.199999999999997e-07
2022-04-25,NKN-BTC,4.91e-06,-7.000000000000018e-08
