time,Name,Close,Diff
2022-01-12,XLM-BTC,6.42e-06,2.6000000000000005e-07
2022-01-13,XLM-BTC,6.32e-06,-1.1000000000000064e-07
2022-01-14,XLM-BTC,6.15e-06,-1.6999999999999922e-07
2022-01-15,XLM-BTC,6e-06,-1.5000000000000026e-07
2022-01-16,XLM-BTC,6e-06,-1.999999999999981e-08
2022-01-17,XLM-BTC,6.06e-06,4.999999999999952e-08
2022-01-18,XLM-BTC,5.99e-06,-6.999999999999933e-08
2022-01-19,XLM-BTC,5.9e-06,-9.999999999999989e-08
2022-01-20,XLM-BTC,5.69e-06,-2.2000000000000043e-07
2022-01-21,XLM-BTC,5.55e-06,-1.299999999999996e-07
2022-01-22,XLM-BTC,5.49e-06,-6.000000000000027e-08
2022-01-23,XLM-BTC,5.53e-06,4.0000000000000464e-08
2022-01-24,XLM-BTC,5.39e-06,-1.4000000000000035e-07
2022-01-25,XLM-BTC,5.32e-06,-7.000000000000018e-08
2022-01-26,XLM-BTC,5.35e-06,2.999999999999971e-08
2022-01-27,XLM-BTC,5.21e-06,-1.399999999999995e-07
2022-01-28,XLM-BTC,5.26e-06,4.999999999999952e-08
2022-01-29,XLM-BTC,5.33e-06,7.000000000000018e-08
2022-01-30,XLM-BTC,5.16e-06,-1.7999999999999997e-07
2022-01-31,XLM-BTC,5.18e-06,3.000000000000056e-08
2022-02-01,XLM-BTC,5.21e-06,2.999999999999971e-08
2022-02-02,XLM-BTC,5.23e-06,1.999999999999981e-08
2022-02-03,XLM-BTC,5.23e-06,0.0
2022-02-04,XLM-BTC,5.03e-06,-1.7999999999999997e-07
2022-02-05,XLM-BTC,5.15e-06,1.099999999999998e-07
2022-02-06,XLM-BTC,5.27e-06,1.3000000000000045e-07
2022-02-07,XLM-BTC,5.47e-06,1.8999999999999987e-07
2022-02-08,XLM-BTC,5.49e-06,9.999999999999904e-09
2022-02-09,XLM-BTC,5.37e-06,-1.299999999999996e-07
2022-02-10,XLM-BTC,5.31e-06,-6.000000000000027e-08
2022-02-11,XLM-BTC,5.08e-06,-2.3000000000000034e-07
2022-02-12,XLM-BTC,5.16e-06,6.999999999999933e-08
2022-02-13,XLM-BTC,5e-06,-1.5999999999999932e-07
2022-02-14,XLM-BTC,4.96e-06,-4.0000000000000464e-08
2022-02-15,XLM-BTC,4.95e-06,-9.999999999999904e-09
2022-02-16,XLM-BTC,4.98e-06,1.999999999999981e-08
2022-02-17,XLM-BTC,4.99e-06,9.999999999999904e-09
2022-02-18,XLM-BTC,5.01e-06,2.0000000000000656e-08
2022-02-19,XLM-BTC,5.09e-06,8.000000000000008e-08
2022-02-20,XLM-BTC,5.07e-06,-2.0000000000000656e-08
2022-02-21,XLM-BTC,4.82e-06,-2.4000000000000024e-07
2022-02-22,XLM-BTC,4.85e-06,3.000000000000056e-08
2022-02-23,XLM-BTC,4.88e-06,2.999999999999971e-08
2022-02-24,XLM-BTC,4.76e-06,-1.199999999999997e-07
2022-02-25,XLM-BTC,4.86e-06,9.999999999999989e-08
2022-02-26,XLM-BTC,4.92e-06,5.000000000000037e-08
2022-02-27,XLM-BTC,4.8e-06,-1.2000000000000055e-07
2022-02-28,XLM-BTC,4.57e-06,-2.199999999999996e-07
2022-03-01,XLM-BTC,4.47e-06,-9.999999999999989e-08
2022-03-02,XLM-BTC,4.41e-06,-6.000000000000027e-08
2022-03-03,XLM-BTC,4.42e-06,1.999999999999981e-08
2022-03-04,XLM-BTC,4.49e-06,7.000000000000018e-08
2022-03-05,XLM-BTC,4.57e-06,8.000000000000008e-08
2022-03-06,XLM-BTC,4.5e-06,-7.000000000000018e-08
2022-03-07,XLM-BTC,4.46e-06,-4.0000000000000464e-08
2022-03-08,XLM-BTC,4.47e-06,1.0000000000000751e-08
2022-03-09,XLM-BTC,4.49e-06,9.999999999999904e-09
2022-03-10,XLM-BTC,4.52e-06,1.999999999999981e-08
2022-03-11,XLM-BTC,4.74e-06,2.2000000000000043e-07
2022-03-12,XLM-BTC,4.77e-06,2.999999999999971e-08
2022-03-13,XLM-BTC,4.66e-06,-1.099999999999998e-07
2022-03-14,XLM-BTC,4.54e-06,-1.2000000000000055e-07
2022-03-15,XLM-BTC,4.64e-06,8.999999999999999e-08
2022-03-16,XLM-BTC,4.61e-06,-2.999999999999971e-08
2022-03-17,XLM-BTC,4.63e-06,1.999999999999981e-08
2022-03-18,XLM-BTC,4.61e-06,-1.999999999999981e-08
2022-03-19,XLM-BTC,4.74e-06,1.2000000000000055e-07
2022-03-20,XLM-BTC,4.78e-06,2.999999999999971e-08
2022-03-21,XLM-BTC,4.97e-06,1.9999999999999978e-07
2022-03-22,XLM-BTC,4.89e-06,-8.999999999999999e-08
2022-03-23,XLM-BTC,4.88e-06,0.0
2022-03-24,XLM-BTC,4.89e-06,1.999999999999981e-08
2022-03-25,XLM-BTC,4.76e-06,-1.199999999999997e-07
2022-03-26,XLM-BTC,4.84e-06,8.000000000000008e-08
2022-03-27,XLM-BTC,4.91e-06,5.999999999999943e-08
2022-03-28,XLM-BTC,4.87e-06,-3.999999999999962e-08
2022-03-29,XLM-BTC,4.91e-06,3.999999999999962e-08
2022-03-30,XLM-BTC,4.98e-06,8.000000000000008e-08
2022-03-31,XLM-BTC,5.02e-06,3.000000000000056e-08
2022-04-01,XLM-BTC,5.02e-06,0.0
2022-04-02,XLM-BTC,5.09e-06,6.000000000000027e-08
2022-04-03,XLM-BTC,5.11e-06,1.999999999999981e-08
2022-04-04,XLM-BTC,4.99e-06,-1.2000000000000055e-07
2022-04-05,XLM-BTC,4.95e-06,-3.999999999999962e-08
2022-04-06,XLM-BTC,4.72e-06,-2.3000000000000034e-07
2022-04-07,XLM-BTC,4.89e-06,1.7000000000000007e-07
2022-04-08,XLM-BTC,4.78e-06,-1.099999999999998e-07
2022-04-09,XLM-BTC,4.8e-06,1.999999999999981e-08
2022-04-10,XLM-BTC,4.76e-06,-2.999999999999971e-08
2022-04-11,XLM-BTC,4.73e-06,-2.0000000000000656e-08
2022-04-12,XLM-BTC,4.8e-06,8.000000000000008e-08
2022-04-13,XLM-BTC,4.78e-06,-9.999999999999904e-09
2022-04-14,XLM-BTC,4.85e-06,7.000000000000018e-08
2022-04-15,XLM-BTC,5.04e-06,1.7999999999999997e-07
2022-04-16,XLM-BTC,5.09e-06,6.000000000000027e-08
2022-04-17,XLM-BTC,4.95e-06,-1.299999999999996e-07
2022-04-18,XLM-BTC,5.02e-06,6.000000000000027e-08
2022-04-19,XLM-BTC,4.91e-06,-1.1000000000000064e-07
2022-04-20,XLM-BTC,4.85e-06,-4.999999999999952e-08
2022-04-21,XLM-BTC,4.85e-06,0.0
