Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,177.6699981689453,181.0800018310547,175.97999572753906,178.42999267578125,175.35699462890625,2341800
2022-01-19,179.2100067138672,180.8699951171875,175.64999389648438,175.6999969482422,172.6739959716797,1922400
2022-01-20,177.25999450683594,180.63999938964844,173.69000244140625,173.75,170.75758361816406,2500200
2022-01-21,174.86000061035156,177.52999877929688,172.99000549316406,174.97999572753906,171.9663848876953,3535600
2022-01-24,170.97000122070312,176.63999938964844,168.86000061035156,176.25,173.21453857421875,1981000
2022-01-25,173.4600067138672,174.83999633789062,169.0399932861328,172.94000244140625,169.96153259277344,1415400
2022-01-26,173.77999877929688,177.0399932861328,170.7899932861328,172.5399932861328,169.5684356689453,1515600
2022-01-27,173.9199981689453,175.82000732421875,168.27999877929688,169.1999969482422,166.28594970703125,1590000
2022-01-28,169.1300048828125,172.2100067138672,166.35000610351562,172.1699981689453,169.20480346679688,1797000
2022-01-31,171.33999633789062,174.08999633789062,166.75999450683594,173.10000610351562,170.11880493164062,1834300
2022-02-01,173.88999938964844,173.88999938964844,165.27000427246094,167.17999267578125,164.3007354736328,2740700
2022-02-02,168.11000061035156,170.0,164.16000366210938,164.9499969482422,162.10916137695312,2756000
2022-02-03,165.49000549316406,166.6699981689453,161.32000732421875,161.5800018310547,158.7971954345703,1864900
2022-02-04,160.77999877929688,161.6699981689453,156.66000366210938,158.74000549316406,156.00611877441406,2151600
2022-02-07,158.55999755859375,159.61000061035156,156.1999969482422,156.97000122070312,154.26658630371094,1891500
2022-02-08,158.64999389648438,160.6300048828125,157.13999938964844,159.05999755859375,156.32058715820312,1757500
2022-02-09,161.52999877929688,164.5800018310547,161.0800018310547,162.17999267578125,159.3868408203125,2167700
2022-02-10,158.5,162.02999877929688,155.4199981689453,156.16000366210938,153.4705352783203,1855600
2022-02-11,157.02999877929688,157.82000732421875,151.10000610351562,152.17999267578125,149.55906677246094,1643300
2022-02-14,151.6999969482422,153.0800018310547,149.61000061035156,151.4499969482422,148.84164428710938,1538800
2022-02-15,154.02000427246094,155.1300048828125,152.64999389648438,154.0,151.3477325439453,1395000
2022-02-16,153.10000610351562,154.38999938964844,152.19000244140625,152.6300048828125,150.00132751464844,1117400
2022-02-17,152.22000122070312,153.92999267578125,150.75,151.42999267578125,148.82199096679688,1667600
2022-02-18,150.61000061035156,153.88999938964844,150.61000061035156,152.3300018310547,149.7064971923828,2044500
2022-02-22,151.58999633789062,153.63999938964844,149.75,150.74000549316406,148.14389038085938,1533600
2022-02-23,151.8000030517578,151.8000030517578,148.5,148.97000122070312,146.4043731689453,1474900
2022-02-24,146.0,151.5500030517578,145.24000549316406,151.22999572753906,148.6254425048828,1841800
2022-02-25,151.49000549316406,154.83999633789062,150.4600067138672,154.72999572753906,152.06517028808594,1771300
2022-02-28,152.6699981689453,154.97999572753906,152.05999755859375,153.92999267578125,151.27894592285156,1865700
2022-03-01,154.38999938964844,154.55999755859375,149.8699951171875,152.05999755859375,149.44114685058594,1223900
2022-03-02,153.32000732421875,155.85000610351562,153.0800018310547,155.22000122070312,152.54672241210938,1576700
2022-03-03,156.2100067138672,156.67999267578125,153.75,155.11000061035156,153.09947204589844,1631200
2022-03-04,153.2100067138672,154.55999755859375,150.32000732421875,151.30999755859375,149.3487091064453,1200000
