time,Name,Close,Diff
2022-01-12,ORN-BTC,0.0001131,7.000000000000035e-07
2022-01-13,ORN-BTC,0.0001119,-1.0000000000000108e-06
2022-01-14,ORN-BTC,0.0001122,4.999999999999986e-07
2022-01-15,ORN-BTC,0.0001176,5.399999999999996e-06
2022-01-16,ORN-BTC,0.0001209,3.1999999999999965e-06
2022-01-17,ORN-BTC,0.0001195,-1.3999999999999934e-06
2022-01-18,ORN-BTC,0.0001165,-3.099999999999994e-06
2022-01-19,ORN-BTC,0.0001137,-2.3000000000000017e-06
2022-01-20,ORN-BTC,0.0001144,1.200000000000002e-06
2022-01-21,ORN-BTC,0.0001064,-7.699999999999997e-06
2022-01-22,ORN-BTC,9.59e-05,-1.0300000000000006e-05
2022-01-23,ORN-BTC,9.82e-05,2.1999999999999993e-06
2022-01-24,ORN-BTC,9.72e-05,-8.999999999999948e-07
2022-01-25,ORN-BTC,0.0001031,5.999999999999997e-06
2022-01-26,ORN-BTC,0.0001055,3.1000000000000076e-06
2022-01-27,ORN-BTC,0.0001139,8.400000000000001e-06
2022-01-28,ORN-BTC,0.0001219,7.899999999999989e-06
2022-01-29,ORN-BTC,0.0001255,3.6999999999999815e-06
2022-01-30,ORN-BTC,0.0001202,-5.600000000000001e-06
2022-01-31,ORN-BTC,0.0001165,-3.600000000000006e-06
2022-02-01,ORN-BTC,0.0001082,-8.199999999999996e-06
2022-02-02,ORN-BTC,0.000105,-3.1999999999999965e-06
2022-02-03,ORN-BTC,0.0001046,-2.0000000000000486e-07
2022-02-04,ORN-BTC,9.89e-05,-5.600000000000001e-06
2022-02-05,ORN-BTC,9.71e-05,-1.9999999999999944e-06
2022-02-06,ORN-BTC,9.68e-05,-6.00000000000001e-07
2022-02-07,ORN-BTC,9.48e-05,-2.099999999999997e-06
2022-02-08,ORN-BTC,9.47e-05,-2.0000000000000486e-07
2022-02-09,ORN-BTC,9.55e-05,9.999999999999972e-07
2022-02-10,ORN-BTC,9.33e-05,-2.3999999999999906e-06
2022-02-11,ORN-BTC,9.01e-05,-3.4000000000000013e-06
2022-02-12,ORN-BTC,9.38e-05,3.4000000000000013e-06
2022-02-13,ORN-BTC,9.03e-05,-3.4000000000000013e-06
2022-02-14,ORN-BTC,9.29e-05,3.099999999999994e-06
2022-02-15,ORN-BTC,9.14e-05,-1.4999999999999958e-06
2022-02-16,ORN-BTC,9.35e-05,1.3999999999999934e-06
2022-02-17,ORN-BTC,9.48e-05,1.0999999999999996e-06
2022-02-18,ORN-BTC,9.1e-05,-3.9e-06
2022-02-19,ORN-BTC,9.23e-05,1.0999999999999996e-06
2022-02-20,ORN-BTC,8.92e-05,-3.1999999999999965e-06
2022-02-21,ORN-BTC,8.76e-05,-1.7000000000000007e-06
2022-02-22,ORN-BTC,8.73e-05,-7.000000000000035e-07
2022-02-23,ORN-BTC,8.74e-05,1.0000000000000243e-07
2022-02-24,ORN-BTC,8.06e-05,-7.0000000000000075e-06
2022-02-25,ORN-BTC,8.32e-05,2.3000000000000017e-06
2022-02-26,ORN-BTC,8.35e-05,1.999999999999913e-07
2022-02-27,ORN-BTC,8.13e-05,-2.1999999999999993e-06
2022-02-28,ORN-BTC,7.73e-05,-3.9e-06
2022-03-01,ORN-BTC,7.89e-05,1.3999999999999934e-06
2022-03-02,ORN-BTC,7.78e-05,-1.400000000000007e-06
2022-03-03,ORN-BTC,7.71e-05,-1.3999999999999934e-06
2022-03-04,ORN-BTC,7.78e-05,6.999999999999899e-07
2022-03-05,ORN-BTC,8.35e-05,5.700000000000003e-06
2022-03-06,ORN-BTC,9.69e-05,1.3599999999999992e-05
2022-03-07,ORN-BTC,8.33e-05,-1.3899999999999999e-05
2022-03-08,ORN-BTC,7.91e-05,-3.7999999999999975e-06
2022-03-09,ORN-BTC,7.9e-05,-1.0000000000000243e-07
2022-03-10,ORN-BTC,8.11e-05,2.600000000000009e-06
2022-03-11,ORN-BTC,7.73e-05,-3.7000000000000086e-06
2022-03-12,ORN-BTC,7.72e-05,-3.9999999999999617e-07
2022-03-13,ORN-BTC,7.79e-05,9.999999999999972e-07
2022-03-14,ORN-BTC,7.36e-05,-4.100000000000005e-06
2022-03-15,ORN-BTC,7.44e-05,5.000000000000122e-07
2022-03-16,ORN-BTC,7.58e-05,1.3000000000000045e-06
2022-03-17,ORN-BTC,7.46e-05,-1.200000000000002e-06
2022-03-18,ORN-BTC,7.43e-05,-4.999999999999986e-07
2022-03-19,ORN-BTC,7.55e-05,1.200000000000002e-06
2022-03-20,ORN-BTC,8.06e-05,5.299999999999993e-06
2022-03-21,ORN-BTC,7.89e-05,-1.800000000000003e-06
2022-03-22,ORN-BTC,7.91e-05,2.9999999999999374e-07
2022-03-23,ORN-BTC,7.95e-05,4.999999999999986e-07
2022-03-24,ORN-BTC,7.71e-05,-2.499999999999993e-06
2022-03-25,ORN-BTC,7.71e-05,3.000000000000073e-07
2022-03-26,ORN-BTC,7.65e-05,-4.999999999999986e-07
2022-03-27,ORN-BTC,7.98e-05,3.5000000000000038e-06
2022-03-28,ORN-BTC,7.67e-05,-3.3000000000000125e-06
2022-03-29,ORN-BTC,7.74e-05,7.000000000000035e-07
2022-03-30,ORN-BTC,7.56e-05,-1.9000000000000055e-06
2022-03-31,ORN-BTC,7.37e-05,-2.400000000000004e-06
2022-04-01,ORN-BTC,8.29e-05,9.199999999999993e-06
2022-04-02,ORN-BTC,8.18e-05,-8.000000000000059e-07
2022-04-03,ORN-BTC,9.48e-05,1.3799999999999997e-05
2022-04-04,ORN-BTC,8.87e-05,-5.700000000000003e-06
2022-04-05,ORN-BTC,8.39e-05,-4.899999999999997e-06
2022-04-06,ORN-BTC,7.9e-05,-4.900000000000011e-06
2022-04-07,ORN-BTC,8.67e-05,7.400000000000004e-06
2022-04-08,ORN-BTC,9.7e-05,1.0100000000000002e-05
2022-04-09,ORN-BTC,0.0001004,3.000000000000005e-06
2022-04-10,ORN-BTC,9.67e-05,-3.49999999999999e-06
2022-04-11,ORN-BTC,9.08e-05,-5.8000000000000055e-06
2022-04-12,ORN-BTC,9.8e-05,6.8999999999999915e-06
2022-04-13,ORN-BTC,9.54e-05,-2.400000000000004e-06
2022-04-14,ORN-BTC,9.43e-05,-8.999999999999948e-07
2022-04-15,ORN-BTC,8.87e-05,-5.299999999999993e-06
2022-04-16,ORN-BTC,8.7e-05,-1.5999999999999982e-06
2022-04-17,ORN-BTC,8.35e-05,-3.7000000000000086e-06
2022-04-18,ORN-BTC,8.24e-05,-1.0999999999999996e-06
2022-04-19,ORN-BTC,7.97e-05,-2.5999999999999954e-06
2022-04-20,ORN-BTC,8.39e-05,4.400000000000012e-06
2022-04-21,ORN-BTC,7.99e-05,-4.099999999999991e-06
2022-04-22,ORN-BTC,7.95e-05,-7.000000000000035e-07
2022-04-23,ORN-BTC,7.74e-05,-2.099999999999997e-06
2022-04-24,ORN-BTC,7.69e-05,-4.999999999999986e-07
2022-04-25,ORN-BTC,7.38e-05,-3.299999999999999e-06
2022-04-26,ORN-BTC,7.2e-05,-1.899999999999992e-06
2022-04-27,ORN-BTC,7.06e-05,-1.5000000000000094e-06
2022-04-28,ORN-BTC,6.87e-05,-1.5999999999999982e-06
2022-04-29,ORN-BTC,6.63e-05,-2.1999999999999993e-06
2022-04-30,ORN-BTC,6.63e-05,-1.0000000000000243e-07
2022-05-01,ORN-BTC,6.5e-05,-1.3000000000000045e-06
2022-05-02,ORN-BTC,6.7e-05,1.9000000000000055e-06
2022-05-03,ORN-BTC,6.68e-05,-8.000000000000059e-07
2022-05-04,ORN-BTC,6.86e-05,1.800000000000003e-06
2022-05-05,ORN-BTC,6.66e-05,-2.299999999999988e-06
2022-05-06,ORN-BTC,6.53e-05,-8.999999999999948e-07
2022-05-07,ORN-BTC,6.49e-05,-4.999999999999986e-07
2022-05-08,ORN-BTC,6.22e-05,-2.600000000000009e-06
2022-05-09,ORN-BTC,5.91e-05,-3.000000000000005e-06
2022-05-10,ORN-BTC,5.88e-05,6.00000000000001e-07
2022-05-11,ORN-BTC,4.6e-05,-1.2900000000000002e-05
2022-05-12,ORN-BTC,4.92e-05,2.8000000000000003e-06
2022-05-13,ORN-BTC,5.48e-05,5.499999999999998e-06
2022-05-14,ORN-BTC,4.65e-05,-8.500000000000003e-06
2022-05-15,ORN-BTC,4.83e-05,1.5000000000000026e-06
2022-05-16,ORN-BTC,4.93e-05,1.2999999999999977e-06
2022-05-17,ORN-BTC,4.73e-05,-2.000000000000001e-06
2022-05-18,ORN-BTC,4.69e-05,-3.9999999999999617e-07
2022-05-19,ORN-BTC,4.68e-05,-1.9999999999999809e-07
2022-05-20,ORN-BTC,4.69e-05,3.000000000000005e-07
2022-05-21,ORN-BTC,4.7e-05,0.0
2022-05-22,ORN-BTC,5.06e-05,3.3999999999999946e-06
2022-05-23,ORN-BTC,4.95e-05,-7.000000000000035e-07
2022-05-24,ORN-BTC,5.18e-05,2.099999999999997e-06
2022-05-25,ORN-BTC,5.07e-05,-1.200000000000002e-06
2022-05-26,ORN-BTC,4.49e-05,-5.900000000000001e-06
2022-05-27,ORN-BTC,5.02e-05,5.3e-06
2022-05-28,ORN-BTC,5.12e-05,1.0999999999999996e-06
2022-05-29,ORN-BTC,4.84e-05,-3.8000000000000043e-06
2022-05-30,ORN-BTC,4.76e-05,-6.00000000000001e-07
2022-05-31,ORN-BTC,4.71e-05,-1.9999999999999809e-07
2022-06-01,ORN-BTC,4.7e-05,-2.0000000000000486e-07
2022-06-02,ORN-BTC,4.61e-05,-7.999999999999991e-07
2022-06-03,ORN-BTC,4.58e-05,-3.000000000000005e-07
2022-06-04,ORN-BTC,4.99e-05,3.4000000000000013e-06
2022-06-05,ORN-BTC,4.74e-05,-2.4999999999999998e-06
2022-06-06,ORN-BTC,4.67e-05,-1.3000000000000045e-06
2022-06-07,ORN-BTC,4.77e-05,9.000000000000015e-07
2022-06-08,ORN-BTC,5.16e-05,3.700000000000002e-06
2022-06-09,ORN-BTC,5.07e-05,-9.000000000000015e-07
2022-06-10,ORN-BTC,5.86e-05,7.900000000000002e-06
2022-06-11,ORN-BTC,5.6e-05,-2.8000000000000003e-06
2022-06-12,ORN-BTC,4.99e-05,-5.999999999999997e-06
2022-06-13,ORN-BTC,6e-05,9.800000000000001e-06
2022-06-14,ORN-BTC,5.74e-05,-2.3999999999999974e-06
2022-06-15,ORN-BTC,5.62e-05,-1.200000000000002e-06
2022-06-16,ORN-BTC,5.68e-05,6.00000000000001e-07
2022-06-17,ORN-BTC,5.86e-05,1.800000000000003e-06
2022-06-18,ORN-BTC,5.78e-05,-1.2999999999999977e-06
2022-06-19,ORN-BTC,5.74e-05,-1.9999999999999809e-07
