time,Name,Close,Diff
2022-01-12,SHIB-USD,3.14e-05,3.6999999999999985e-06
2022-01-13,SHIB-USD,2.96e-05,-1.7999999999999963e-06
2022-01-14,SHIB-USD,3.07e-05,1.0000000000000006e-06
2022-01-15,SHIB-USD,3.09e-05,1.9999999999999809e-07
2022-01-16,SHIB-USD,3.05e-05,-3.9999999999999956e-07
2022-01-17,SHIB-USD,2.88e-05,-1.7999999999999997e-06
2022-01-18,SHIB-USD,2.81e-05,-8.000000000000025e-07
2022-01-19,SHIB-USD,2.72e-05,-7.999999999999991e-07
2022-01-20,SHIB-USD,2.64e-05,-7.999999999999991e-07
2022-01-21,SHIB-USD,2.23e-05,-4.100000000000001e-06
2022-01-22,SHIB-USD,2.06e-05,-1.7000000000000007e-06
2022-01-23,SHIB-USD,2.24e-05,1.7999999999999997e-06
2022-01-24,SHIB-USD,2.12e-05,-1.1999999999999987e-06
2022-01-25,SHIB-USD,2.1e-05,-2.0000000000000147e-07
2022-01-26,SHIB-USD,2.12e-05,9.999999999999904e-08
2022-01-27,SHIB-USD,2.13e-05,9.999999999999904e-08
2022-01-28,SHIB-USD,2.13e-05,0.0
2022-01-29,SHIB-USD,2.17e-05,3.9999999999999956e-07
2022-01-30,SHIB-USD,2.11e-05,-5.999999999999976e-07
2022-01-31,SHIB-USD,2.145e-05,2.499999999999993e-07
2022-02-01,SHIB-USD,2.169e-05,2.299999999999995e-07
2022-02-02,SHIB-USD,2.062e-05,-1.0700000000000016e-06
2022-02-03,SHIB-USD,2.077e-05,1.3999999999999866e-07
2022-02-04,SHIB-USD,2.222e-05,1.4599999999999996e-06
2022-02-05,SHIB-USD,2.25e-05,3.000000000000005e-07
2022-02-06,SHIB-USD,2.855e-05,6.049999999999998e-06
2022-02-07,SHIB-USD,3.257e-05,4.020000000000002e-06
2022-02-08,SHIB-USD,3.101e-05,-1.5899999999999966e-06
2022-02-09,SHIB-USD,3.298e-05,1.9600000000000016e-06
2022-02-10,SHIB-USD,3.084e-05,-2.12e-06
2022-02-11,SHIB-USD,2.872e-05,-2.14e-06
2022-02-12,SHIB-USD,2.916e-05,4.299999999999976e-07
2022-02-13,SHIB-USD,3.015e-05,9.900000000000024e-07
2022-02-14,SHIB-USD,2.957e-05,-5.800000000000012e-07
2022-02-15,SHIB-USD,3.127e-05,1.6999999999999973e-06
2022-02-16,SHIB-USD,3.094e-05,-3.4000000000000013e-07
2022-02-17,SHIB-USD,2.82e-05,-2.729999999999996e-06
2022-02-18,SHIB-USD,2.812e-05,-1.0000000000000243e-07
2022-02-19,SHIB-USD,2.75e-05,-6.099999999999992e-07
2022-02-20,SHIB-USD,2.55e-05,-2.000000000000001e-06
2022-02-21,SHIB-USD,2.406e-05,-1.4399999999999998e-06
2022-02-22,SHIB-USD,2.495e-05,9.000000000000015e-07
2022-02-23,SHIB-USD,2.487e-05,-7.999999999999923e-08
2022-02-24,SHIB-USD,2.387e-05,-1.0000000000000006e-06
2022-02-25,SHIB-USD,2.489e-05,1.0200000000000004e-06
2022-02-26,SHIB-USD,2.448e-05,-4.1000000000000116e-07
2022-02-27,SHIB-USD,2.344e-05,-1.0200000000000004e-06
2022-02-28,SHIB-USD,2.581e-05,2.3699999999999993e-06
2022-03-01,SHIB-USD,2.714e-05,1.3400000000000007e-06
2022-03-02,SHIB-USD,2.591e-05,-1.2100000000000003e-06
2022-03-03,SHIB-USD,2.507e-05,-8.400000000000021e-07
2022-03-04,SHIB-USD,2.359e-05,-1.4700000000000012e-06
2022-03-05,SHIB-USD,2.462e-05,1.030000000000002e-06
2022-03-06,SHIB-USD,2.353e-05,-1.0900000000000014e-06
2022-03-07,SHIB-USD,2.279e-05,-7.399999999999997e-07
2022-03-08,SHIB-USD,2.291e-05,1.1999999999999885e-07
2022-03-09,SHIB-USD,2.386e-05,9.499999999999994e-07
2022-03-10,SHIB-USD,2.262e-05,-1.2399999999999983e-06
2022-03-11,SHIB-USD,2.207e-05,-5.499999999999998e-07
