time,Name,Close,Diff
2022-01-12,SKL-BTC,3.8e-06,4.000000000000004e-08
2022-01-13,SKL-BTC,3.68e-06,-1.1000000000000022e-07
2022-01-14,SKL-BTC,4.07e-06,3.900000000000001e-07
2022-01-15,SKL-BTC,4.02e-06,-5.000000000000037e-08
2022-01-16,SKL-BTC,3.91e-06,-1.099999999999998e-07
2022-01-17,SKL-BTC,3.78e-06,-1.3000000000000003e-07
2022-01-18,SKL-BTC,3.64e-06,-1.3999999999999993e-07
2022-01-19,SKL-BTC,3.61e-06,-2.999999999999971e-08
2022-01-20,SKL-BTC,3.63e-06,9.999999999999904e-09
2022-01-21,SKL-BTC,3.31e-06,-3.1e-07
2022-01-22,SKL-BTC,3.22e-06,-8.000000000000008e-08
2022-01-23,SKL-BTC,3.13e-06,-9.999999999999989e-08
2022-01-24,SKL-BTC,3.03e-06,-1.0000000000000031e-07
2022-01-25,SKL-BTC,3.06e-06,4.000000000000004e-08
2022-01-26,SKL-BTC,3.21e-06,1.6000000000000016e-07
2022-01-27,SKL-BTC,3.04e-06,-1.7000000000000007e-07
2022-01-28,SKL-BTC,3.13e-06,8.999999999999999e-08
2022-01-29,SKL-BTC,3.14e-06,9.999999999999904e-09
2022-01-30,SKL-BTC,3.05e-06,-8.000000000000008e-08
2022-01-31,SKL-BTC,2.96e-06,-8.000000000000008e-08
2022-02-01,SKL-BTC,3e-06,4.000000000000004e-08
2022-02-02,SKL-BTC,2.97e-06,-3.0000000000000136e-08
2022-02-03,SKL-BTC,3.05e-06,8.000000000000008e-08
2022-02-04,SKL-BTC,3.03e-06,-2.0000000000000232e-08
2022-02-05,SKL-BTC,3.14e-06,1.2000000000000012e-07
2022-02-06,SKL-BTC,3.09e-06,-4.000000000000004e-08
2022-02-07,SKL-BTC,3.16e-06,5.999999999999985e-08
2022-02-08,SKL-BTC,3.03e-06,-1.4000000000000035e-07
2022-02-09,SKL-BTC,3.23e-06,1.8999999999999987e-07
2022-02-10,SKL-BTC,3.39e-06,1.7000000000000007e-07
2022-02-11,SKL-BTC,3.52e-06,1.3000000000000003e-07
2022-02-12,SKL-BTC,3.29e-06,-2.2e-07
2022-02-13,SKL-BTC,3.5e-06,2.2e-07
2022-02-14,SKL-BTC,3.7e-06,1.900000000000003e-07
2022-02-15,SKL-BTC,3.65e-06,-5.999999999999985e-08
2022-02-16,SKL-BTC,3.56e-06,-1.1000000000000022e-07
2022-02-17,SKL-BTC,3.85e-06,2.900000000000006e-07
2022-02-18,SKL-BTC,3.41e-06,-4.299999999999997e-07
2022-02-19,SKL-BTC,3.67e-06,2.6999999999999996e-07
2022-02-20,SKL-BTC,3.5e-06,-1.7999999999999997e-07
2022-02-21,SKL-BTC,3.32e-06,-1.7999999999999997e-07
2022-02-22,SKL-BTC,3.47e-06,1.4999999999999983e-07
2022-02-23,SKL-BTC,3.24e-06,-2.2e-07
2022-02-24,SKL-BTC,3.13e-06,-1.099999999999998e-07
